currency,date,time,intensity,event
CHF,2025/06/19,15:00:00,3,การแถลงข่าวต่อสื่อมวลชนของธนาคารกกลางสวิตเซอร์แลนด์
NOK,2025/06/19,15:00:00,2,การตัดสินใจเกี่ยวกับอัตราดอกเบี้ยของนอร์เวย์
EUR,2025/06/19,15:30:00,2,คำกล่าวของนางบูช์ (Buch) รองประธานธนาคารกลางเยอรมนี
EUR,2025/06/19,15:40:00,2,การประมูลพันธบัตรรัฐบาลสเปน Obligacion อายุ 10 ปี
EUR,2025/06/19,15:40:00,1,การประมูลพันธบัตร Bonos ของสเปน อายุ 5 ปี
EUR,2025/06/19,15:40:00,1,การประมูลพันธบัตร Obligacion ของสเปน อายุ 8 ปี
EUR,2025/06/19,16:00:00,2,คำกล่าวของนาเจล (Nagel) ประธานธนาคาร Buba ของเยอรมนี
EUR,2025/06/19,16:00:00,1,การประมูลพันธบัตร OAT ของฝรั่งเศสอายุ 6 ปี
EUR,2025/06/19,16:00:00,1,ดัชนีผลผลิตการก่อสร้าง (เดือนต่อเดือน)  (เม.ย.)
EUR,2025/06/19,16:45:00,2,คำกล่าวของ เด กินโดส (De Guindos) แห่งธนาคารกลางยุโรป
EUR,2025/06/19,17:00:00,1,ราคาอสังหาริมทรัพย์เพื่อการอยู่อาศัย (Resi Prop Prices) (เดือนต่อเดือน)  (เม.ย.)
EUR,2025/06/19,17:00:00,1,ราคาอสังหาริมทรัพย์เพื่อการอยู่อาศัย (Resi Prop Prices) (ปีต่อปี)  (เม.ย.)
EUR,2025/06/19,17:00:00,2,รัฐมนตรีคลังยูโรโซนประชุม
EUR,2025/06/19,17:30:00,2,คำกล่าวของ ลาการ์ด (Lagarde) ประธานธนาคารกลางยุโรป
GBP,2025/06/19,18:00:00,2,โหวตเพื่อปรับลดอัตราดอกเบี้ยของคณะกรรมการนโยบายการเงิน  (มิ.ย.)
GBP,2025/06/19,18:00:00,2,โหวตเพื่อปรับขึ้นอัตราดอกเบี้ยของคณะกรรมการนโยบายการเงิน  (มิ.ย.)
GBP,2025/06/19,18:00:00,2,โหวตเพื่อคงอัตราดอกเบี้ยเดิมไว้ของคณะกรรมการนโยบายการเงิน  (มิ.ย.)
GBP,2025/06/19,18:00:00,3,การตัดสินใจเกี่ยวกับอัตราดอกเบี้ย  (มิ.ย.)
GBP,2025/06/19,18:00:00,2,รายงานการประชุมของคณะกรรการนโยบายการเงิน (MPC)
EUR,2025/06/19,18:00:00,2,คำกล่าวของนางบูช์ (Buch) รองประธานธนาคารกลางเยอรมนี
