title,body_text,url,publish_date,publish_time,source,ticker
Prime Day Is the Prime Time to Add a SanDisk Memory Card to Your Camera or Laptop for Peanuts,"It’s not here quite yet but the day may come when SanDisk enters that rarified category of brands that are synonymous with their entire product category, like Kleenex or Band-Aids or Popsicles. When … [+2265 chars]",https://gizmodo.com/prime-day-is-the-prime-time-to-add-a-sandisk-memory-card-to-your-camera-or-laptop-for-peanuts-2000626074,2025-07-09,15:50,Gizmodo.com,news
"Apple Didn’t Approve, but Amazon Clears Out AirPods Pro 2 at a Record Low for Prime Day","AirPods Pro 2 are in stores just a year but already they set the benchmark by which other wireless earbuds with active noise cancellation are judged. On the subject of sound quality, nothing else com… [+2871 chars]",https://gizmodo.com/apple-didnt-approve-but-amazon-is-clearing-out-airpods-pro-2-at-a-record-low-prime-day-2000624565,2025-07-09,13:41,Gizmodo.com,news
"The Blink Video Doorbell Is Practically Free, Amazon Seems Determined to Clear Out All Their Stock","Among all the Amazon devices going on sale during Prime Day, the Blink video doorbell wins the award for largest discount. This newly updated version of Blink’s smart doorbell now sells for just $29,… [+2550 chars]",https://gizmodo.com/the-blink-video-doorbell-is-practically-free-amazon-seems-determined-to-clear-out-all-their-stock-2000626497,2025-07-09,13:35,Gizmodo.com,news
Anker’s 12-in-1 Dock and Monitor Stand Combo Gets a Prime Day Cut as Amazon Clears Out Stock,Prime Day is a go and Amazon right now is firing off on all cylinders. You can save a ton on a load of different products across every category. This is a great time to browse through some deals and … [+2018 chars],https://gizmodo.com/ankers-12-in-1-dock-and-monitor-stand-combo-gets-a-prime-day-cut-as-amazon-clears-out-stock-2000626115,2025-07-09,13:25,Gizmodo.com,news
"Samsung Lets Amazon Sell the T9 Portable SSD at an All-Time Low During Prime Day, but Stock Is Limited","Having ample storage space is a precious thing. If you’re a photographer, videographer, or really any professional who works with large files regularly, you know exactly what I’m talking about. Even … [+2133 chars]",https://gizmodo.com/samsung-lets-amazon-sell-the-t9-portable-ssd-at-an-all-time-low-during-prime-day-but-stock-is-limited-2000624343,2025-07-09,12:25,Gizmodo.com,news
"For Day 2 of Prime Day, Amazon Drops the Price Even Further on Our Favorite Galaxy S25+ Phone",Amazon increased the pace of its Prime Day sales from Day 1 to Day 2 with even more aggressive discounts on some of the year’s hottest technology. Yesterday’s emphasis was on the Samsung Galaxy S25 U… [+2514 chars],https://gizmodo.com/for-day-2-of-prime-day-amazon-drops-the-price-even-further-on-our-favorite-galaxy-s25-phone-2000626434,2025-07-09,10:25,Gizmodo.com,news
Prime Day Picks From People Who Obsessively Test Gear & Track Prices,"Amazon Prime Day began as one day and is now much more of an event, lasting four days this year. The Prime Day deals started dropping last month, and will go on through Friday. We'll be dangerously c… [+75338 chars]",https://www.wired.com/story/best-amazon-prime-deals-july-2025-1/,2025-07-09,09:12,Wired,news
Confused about where things stand with Trump's tariffs? Here's a handy primer,"This week was supposed to mark the deadline for other countries to strike trade deals with the U.S. or face tariffs of up to 49% on the goods they sell in the United States. 
President Trump is stil… [+6520 chars]",https://www.npr.org/2025/07/09/nx-s1-5460936/trump-tariffs-economy-china-policy,2025-07-09,09:00,NPR,news
The Hidden Cost of OpenAI’s Genius,"OpenAI is the undisputed poster child of the AI revolution, the company that forced the world to pay attention with the launch of ChatGPT. But behind the scenes, a desperate and wildly expensive batt… [+3421 chars]",https://gizmodo.com/the-hidden-cost-of-openais-genius-2000626374,2025-07-09,01:55,Gizmodo.com,news
"This MacBook Air Is Selling at Half the Price of a MacBook Pro, Amazon Clears Out Prime Day Stock","Apple has come a significant distance in reducing the MacBook Air’s price, and Amazon is pushing the value even harder on Prime Day.
As things stand now, Prime members can acquire the 2025 MacBook A… [+2304 chars]",https://gizmodo.com/this-macbook-air-is-selling-at-half-the-price-of-a-macbook-pro-amazon-clears-out-prime-day-stock-2000626255,2025-07-08,23:40,Gizmodo.com,news
"This 3000+ Piece LEGO Boutique Hotel Drops to a New Low, Amazon Clears Out Stock for Prime Day","LEGO sets are always very popular during major shopping periods like Prime Day and Black Friday. This year, although Star Wars and Harry Potter series are drawing a lot of attention, there are some o… [+1786 chars]",https://gizmodo.com/this-3000-piece-lego-boutique-hotel-drops-to-a-new-low-amazon-clears-out-stock-for-prime-day-2000626226,2025-07-08,23:10,Gizmodo.com,news
Samsung is clearing out its Galaxy Watch Ultra stock at HALF OFF for Prime Day,"Thanks to several leaks, it's a poorly kept secret that Samsung may launch a new Galaxy Watch Ultra at Galaxy Unpacked on Wednesday, possibly with some upgrades and new colors. But this new model wil… [+2181 chars]",https://www.androidcentral.com/wearables/samsung-is-clearing-out-its-galaxy-watch-ultra-stock-at-half-off-for-prime-day,2025-07-08,19:25,Android Central,news
The best Prime Day smart home deals we found,"Prime Day is one of the best times of the year to stock up on smart home gear. With big price drops on all of Amazon’s many smart home brands, from Blink and Ring to Echo speakers and Eero Wi-Fi rout… [+9398 chars]",https://www.theverge.com/amazon-prime-day-deals-tech/699919/best-smart-home-deals-amazon-prime-day,2025-07-08,16:32,The Verge,news
Here are five fabulous 100W USB-C cables priced under $10,"Only the best USB-C cables should be used to charge devices. Low-quality cables can actually be fire hazards, so it's essential to know what you're buying. This is why trustworthy brands play a pivot… [+1120 chars]",https://www.androidcentral.com/accessories/power-charging/here-are-five-fabulous-100w-usb-c-cables-priced-under-10,2025-07-08,16:07,Android Central,news
"Google Joins Prime Day With Floodlight Security Camera at Its Lowest Price, Stock May Go Faster Than Expected","A little bit of extra security can go a long way at home. There are plenty of ways to add more security to your house, but the simplest is nearly always going to be a really good security camera. The… [+1928 chars]",https://gizmodo.com/google-joins-prime-day-with-floodlight-security-camera-at-its-lowest-price-stock-may-go-faster-than-expected-2000625026,2025-07-08,15:25,Gizmodo.com,news
Fitness and Wellness Deals Worth Adding to Cart on Amazon Prime Day July 2025,"If you want the perks of owning a smartwatch without the hefty price, the Amazfit Balance Smart Watch 46mm is a good place to start. During Prime Day, the smartwatch that functions as a fitness track… [+240 chars]",https://www.cnet.com/health/fitness-and-wellness-deals-worth-adding-to-cart-on-amazon-prime-day-july-2025/,2025-07-08,14:33,CNET,news
"Fourth Price Drop in Just Hours, The Samsung T9 SSD 4TB Is Now Going for Pennies on Prime Day","Amazon is going out of its way to get people to shop on Prime Day, and the Samsung T9 Portable SSD with 4TB storage is no exception. In a matter of hours, this massive-capacity external SSD’s price h… [+2222 chars]",https://gizmodo.com/fourth-price-drop-in-just-hours-the-samsung-t9-ssd-4tb-is-now-going-for-pennies-on-prime-day-2000625513,2025-07-08,10:10,Gizmodo.com,news
The 177 best Prime Day 2025 deals that we found,"Prime Day, Amazon’s four-day thunderdome of exclusive deals, is here. Outside of Black Friday and Cyber Monday, we anticipate this to be the best moment of the year to score discounts on headphones, … [+65805 chars]",https://www.theverge.com/tech/696641/amazon-prime-day-best-tech-deals-2025,2025-07-08,09:22,The Verge,news
"Amazon Needs to Clear Dyson V15 Stock Fast, Now at a New Record Low for Prime Day",Dyson has always been the crème de la crème when it comes to cordless stick vacuums and the V15 Detect Plus is one of the latest and most advanced models in their lineup. It has a reputation for havi… [+1981 chars],https://gizmodo.com/amazon-needs-to-clear-dyson-v15-stock-fast-now-at-a-new-record-low-for-prime-day-2000625334,2025-07-07,23:10,Gizmodo.com,news
The End of the Stock Market As We Know It,"A revolution is brewing in finance, promising to shatter the old walls of Wall Street and bring assets like stocks, bonds, and even skyscrapers onto the blockchain. Its called tokenization, and it co… [+6037 chars]",https://gizmodo.com/the-end-of-the-stock-market-as-we-know-it-2000625351,2025-07-07,21:38,Gizmodo.com,news
"Amazon Is Crushing LEGO Star Wars R2-D2 Stock for Prime Day, Now Selling for Peanuts Until Sold Out","Prime Day is always a stellar day for LEGO fans and this year is no exception – especially for Star Wars fans, the largest LEGO theme of all time. One of the top deals is the LEGO Star Wars R2-D2 set… [+1590 chars]",https://gizmodo.com/amazon-is-crushing-lego-star-wars-r2-d2-stock-for-prime-day-now-selling-for-peanuts-until-sold-out-2000625230,2025-07-07,21:35,Gizmodo.com,news
"Amazon Offers Shark Air Purifier at Almost 50% Off to Clear Out Stock for Prime Day, and Clear Away Allergies","Summer is nice for a lot of people, but it’s also a massive issue for a lot of us too. The heat is one thing, but one of the most inescapable issues for millions of people is hay-fever. That’s right,… [+1970 chars]",https://gizmodo.com/amazon-offers-shark-air-purifier-at-almost-50-off-to-clear-out-stock-for-prime-day-and-clear-away-allergies-2000624947,2025-07-07,20:25,Gizmodo.com,news
"This Portable Wireless CarPlay Screen Is 44% Off, Amazon Is Clearing Out Stock Once and For All","Prime Day is not all about upgrading your home tech, it’s the perfect time to upgrade your car in a big way too. Amazon has cut a premium portable wireless CarPlay / Android Auto car stereo to a new … [+2348 chars]",https://gizmodo.com/this-portable-wireless-carplay-screen-is-44-off-amazon-is-clearing-out-stock-once-and-for-all-2000625176,2025-07-07,19:35,Gizmodo.com,news
"AirPods 4 Now Priced Like Budget Earbuds, as Amazon Clears Out Stock Without Asking Apple","Apple has long set the benchmark for wireless earbuds whether youre after active noise cancellation (with the AirPods Pro 2) or prefer a more streamlined experience without ANC. Right now, its the la… [+2018 chars]",https://gizmodo.com/airpods-4-now-priced-like-budget-earbuds-as-amazon-clears-out-stock-without-asking-apple-2000625144,2025-07-07,18:35,Gizmodo.com,news
"Amazon’s Newest Fire TV Stick Is Going for Peanuts, Now 49% Off During Prime Day but Stock Is Limited","Streaming services are basically the new cable at this point. We’ve all been aware of that for a few years, but cable actually made it easy to switch between channels, while streaming services always… [+2045 chars]",https://gizmodo.com/amazons-newest-fire-tv-stick-is-going-for-peanuts-now-49-off-during-prime-day-but-stock-is-limited-2000614459,2025-07-07,17:45,Gizmodo.com,news
"No Mercy for Google on Prime Day, Amazon Clears Out Pixel 9a Stock Just 2 Months After Its Launch","Prime Day has turned out to be the highlight of the year to purchase nearly anything discounted, with Amazon turning it into the largest shopping day of the year. Prices are insane, and this year Goo… [+2046 chars]",https://gizmodo.com/no-mercy-for-google-on-prime-day-amazon-clears-out-pixel-9a-stock-just-2-months-after-its-launch-2000625060,2025-07-07,16:35,Gizmodo.com,news
"Amazon Is Going All In, AMD Ryzen 9 7900X Processor Is 45% Off If You’re a Prime Member","Prime Day is the perfect time to shop for electronics on Amazon with prices that are often the lowest youll see all year. Amazon is determined to make this event a massive success, and thats why youl… [+2065 chars]",https://gizmodo.com/amazon-is-going-all-in-amd-ryzen-9-7900x-processor-is-45-off-if-youre-a-prime-member-2000625024,2025-07-07,15:35,Gizmodo.com,news
"This LG 65-Inch C4 OLED TV Is 55% Off the Original Price, Amazon Is Clearing Stock for Prime Day","Prime Day is here and that means Amazon is offering the best deals of the year on top electronics. In fact, prices during Prime Day often beat what youll find on Black Friday, which makes it the ulti… [+1860 chars]",https://gizmodo.com/this-lg-65-inch-c4-oled-tv-is-55-off-the-original-price-amazon-is-clearing-stock-for-prime-day-2000624838,2025-07-07,15:25,Gizmodo.com,news
"Amazon Is Going Nuts on Prices, GoPro HERO13 Black Is Flying Off Shelves For Prime Day","Amazon is rolling out its Prime Day sale this Tuesday, but the discounts unofficially began showing up on Monday. Among the best deals is the GoPro Hero13 Black, the top-selling action camera in the … [+2193 chars]",https://gizmodo.com/amazon-is-going-nuts-on-prices-gopro-hero13-black-is-flying-off-shelves-for-prime-day-2000624788,2025-07-07,12:25,Gizmodo.com,news
Why some see the dollar's drop as a sign America is losing its financial might,"There's perhaps no better symbolic representation of America's financial might than the U.S. dollar. And right now, the world's top currency is taking a big, mighty punch.
The dollar has slumped mor… [+6921 chars]",https://www.npr.org/2025/07/07/nx-s1-5455867/trump-dollar-value-debt-currency,2025-07-07,10:00,NPR,news
The stock market's biggest bet is setting investors up for a smackdown,"Wall Street really needs AI to live up to the hype.
A lot has been said about the emerging technology's world-changing potential: Its ability to create stunningly realistic images and videos, ace th… [+10169 chars]",https://www.businessinsider.com/massive-ai-investment-slowing-economy-recession-stock-market-crash-earnings-2025-6,2025-07-07,08:04,Business Insider,news
"This Dell 15″ Laptop (i5, 1TB PCIe SSD, 32GB RAM) Is 75% Off, Amazon Is Going Nuts for Prime Day","There is no better time to shop for laptops on Amazon than Prime Day. As the biggest shopping event of the year for the retailer, Prime Day is when Amazon slashes prices on everything – even going as… [+2263 chars]",https://gizmodo.com/this-dell-15-laptop-i5-1tb-pcie-ssd-32gb-ram-is-75-off-amazon-is-going-nuts-for-prime-day-2000624589,2025-07-06,16:44,Gizmodo.com,news
"No Need To Be a Prime Member, Amazon Is Giving You This 32″ Smart TV Almost for Free","The best-selling smart TV on Amazon right now isn’t from a tech giant, but Insignia, a Best Buy-owned brand. Insignia TVs have become super popular for being so trustworthy and inexpensive and this m… [+2165 chars]",https://gizmodo.com/no-need-to-be-a-prime-member-amazon-is-giving-you-this-32-smart-tv-almost-for-free-2000624574,2025-07-06,16:18,Gizmodo.com,news
"This iRobot Vacuum and Mop with AutoWash Dock Is 50% Off, Amazon Clears Out Stock at a Loss","iRobot and its Roomba line have been the benchmark for robot vacuums. When it comes to the top of home cleaning luxury, the Roomba Plus 405 combo robot vacuum and mop (including a a cleaning dock) is… [+2232 chars]",https://gizmodo.com/this-irobot-vacuum-and-mop-with-autowash-dock-is-50-off-amazon-clears-out-stock-at-a-loss-2000624545,2025-07-06,15:23,Gizmodo.com,news
You Probably Own These 20 Kitchen Tools -- And Pros Think They're Useless,"Countertop real estate is valuable, and when you're short on space, every inch counts. That's why it's frustrating when drawers get crowded with gadgets that looked fun at first but quickly collect d… [+8501 chars]",https://www.cnet.com/home/kitchen-and-household/you-probably-own-these-20-kitchen-tools-and-pros-think-theyre-useless/,2025-07-05,10:00,CNET,news
